ID,SalePrice
0,169676.5563311265
1,270885.8370329353
2,182948.64632159506
3,166111.48196853147
4,142251.21563319824
5,308815.094864302
6,137095.27827274575
7,154133.40563268532
8,169332.17611021464
9,152489.0212730091
10,149956.20666476246
11,157828.71286964693
12,160986.20200556036
13,167627.41404218026
14,143248.08259183544
15,233907.38085146376
16,144569.29106920262
17,218495.37688785413
18,175725.24474222056
19,141634.86215266088
20,151967.87155645023
21,247840.46056769165
22,171221.08458139843
23,186815.34467598668
24,150216.05197482306
25,142444.4308707098
26,225449.95361957749
27,156532.1535361525
28,138273.5174144444
29,221977.90503748084
30,227144.39911652842
31,177353.48649152485
32,201770.76542086474
33,127572.44310215917
34,145441.11822338522
35,192135.06013294662
36,163065.39056578637
37,164624.83457440336
38,170402.51443971286
39,150940.0508497044
40,174220.82079144468
41,226226.17183374686
42,124147.55336046604
43,176452.38114588585
44,190028.47936390486
45,183592.56960211275
46,157483.66955379565
47,176759.17662647477
48,163157.09174876555
49,159443.86421343827
50,284354.1280670137
51,152063.19726922415
52,154935.52337138224
53,155020.08063484525
54,143497.5393928362
55,158901.50518501273
56,198365.72080129455
57,149997.06841368607
58,155008.7564521151
59,250927.6122331243
60,152608.93849324205
61,173390.60179800648
62,149300.0
63,183082.87617513185
64,205261.86572525397
65,170770.43621417377
66,152387.5206495442
67,158713.65077700335
68,171901.69274700043
69,189814.5130717948
70,141563.67592597622
71,194067.40321146385
72,170664.55836787738
73,175608.04331015632
74,135805.03426631715
75,152029.6405498905
76,175843.40689544764
77,129002.77938032767
78,131159.3831501827
79,117043.97554274158
80,137233.72933382363
81,247330.09813803216
82,179100.1364868972
83,285286.780241281
84,200735.24910306133
85,191100.5669873986
86,185993.09694637766
87,253519.39708869482
88,136130.2846753515
89,166820.51486108964
90,148998.39253272835
91,155446.65160864076
92,158720.8756461641
93,160755.40496065284
94,292624.9416353366
95,182131.78616614515
96,146244.58998544645
97,144268.36636085974
98,229390.3016774429
99,150924.6552501358
100,142494.57239303325
101,143704.81127468063
102,214659.3557018004
103,154468.89391872322
104,164580.3652917413
105,180941.69466802958
106,164796.06363874898
107,163083.34780389137
108,130421.98075064282
109,126073.78851707408
110,143140.03343136475
111,130476.55055322044
112,145272.80294321445
113,264049.0607905778
114,242089.13968940737
115,207415.6849671629
116,127300.11598757336
117,165896.91976300947
118,168045.66403577488
119,147814.0300591428
120,164287.49467358278
121,286765.34023384773
122,150829.79469504804
123,163595.8305935618
124,184856.42523457782
125,164636.34389786926
126,151386.43105547238
127,154113.6152672081
128,181247.6881923265
129,154962.98037574484
130,145487.2426850981
131,255353.6937651513
132,187372.8376740076
133,146119.286395708
134,145905.47085367588
135,155437.19738950435
136,264562.3654927324
137,248737.2465050584
138,335043.45287821547
139,238023.44137511658
140,145954.30807280508
141,141250.0234937274
142,185840.2428416836
143,341106.78912221803
144,220967.43197823493
145,192764.70686314072
146,168225.52823693884
147,199959.27949105823
148,150821.1114664318
149,146961.6061509914
150,205144.1344466231
151,163192.35517042954
152,140153.5917095947
153,159787.08673317396
154,191472.3276397676
155,201236.7174453269
156,209358.6218498542
157,167085.5961622176
158,178612.4455024265
159,196983.3377383535
160,152984.65883333425
161,168709.79390693383
162,170501.34201886115
163,158582.10148947543
164,152180.85167433365
165,173544.33885853627
166,188060.50236833617
167,170705.68587809385
168,126279.86413819855
169,198331.15392827676
170,124045.34141473135
171,196777.66046825948
172,197184.4868236642
173,130678.36088079764
174,236642.677862034
175,126291.73407411086
176,163083.34780389137
177,200000.0
178,161851.26328192887
179,164005.75976481475
180,143868.0297066301
181,252125.89090634996
182,175636.45803315635
183,135097.2526142985
184,157504.20750592105
185,190273.9245341175
186,240327.8967353163
187,186133.90150973343
188,141317.9926298522
189,235710.89437968764
190,140060.55558268027
191,150636.42773697575
192,138086.59469553328
193,152140.02063073136
194,142281.6878391994
195,157736.33015986037
196,178711.45129364802
197,244339.92869735067
198,199253.26055775938
199,215310.21670662847
200,187240.4742266758
201,143217.60213039586
202,135283.47526029297
203,149287.2333527533
204,171066.16424472493
205,146564.00153942505
206,217146.0567037659
207,139288.0908438058
208,152413.90472300636
209,159657.74320984446
210,145609.86339278228
211,243488.78490432646
212,205314.10083316965
213,163407.76446583727
214,147856.02391435282
215,211218.849985074
216,217353.25500149993
217,141978.6097041112
218,154053.51510586523
219,176792.37302782774
220,166949.905206473
221,110622.88824431582
222,125894.66452550556
223,137920.6690593802
224,171626.27085816432
225,182296.2155616022
226,240474.51290767253
227,192096.29016955642
228,182011.10511862987
229,208509.2788394733
230,143036.11788964065
231,161385.0968954026
232,174805.40256340365
233,214636.53313303442
234,122233.60202411315
235,165173.31827559744
236,592728.3022593235
237,146707.34251366087
238,124785.4826818493
239,182288.30648442387
240,143006.84450660972
241,158513.32041687932
242,176763.78522307728
243,154494.47537002442
244,146645.4600061804
245,145479.074225759
246,180291.45118468057
247,205303.35184342563
248,153418.76406089234
249,191105.2302472668
250,209606.27563114915
251,138039.67093343713
252,163025.52876378963
253,251243.3690890367
254,176003.90431584563
255,191545.9361044004
256,156710.97034273203
257,231368.45998868247
258,208730.00261135914
259,150585.8247173775
260,138971.52145341007
261,168422.00817737455
262,153077.6057639891
263,125327.27967764373
264,136045.43593753863
265,156870.38905239486
266,184138.32718762173
267,246570.0747379129
268,175698.04440059315
269,178368.56956521876
270,144457.90305630642
271,188380.70289779842
272,238794.9731453162
273,-9.223372036854776e+18
274,148445.6262076978
275,185424.51395995266
276,192844.48590416394
277,172951.2665546477
278,155159.79179210108
279,178129.3323665982
